# Max attribute value: 278
# Max object class value: 59
obj,rhcsCluster,cluster,1
obj,rhcsCman,cman,3
obj,rhcsTotem,totem,4
obj,rhcsFencedevice,fencedevice,5
obj,rhcsDevice,device,6
obj,rhcsMethod,method,7
attr,rhcsConfig-version,config_version,1
attr,rhcsNodeid,nodeid,2
attr,rhcsCluster-id,cluster_id,3
attr,rhcsVotes,votes,4
attr,rhcsTwo-node,two_node,5
attr,rhcsExpected-votes,expected_votes,6
attr,rhcsMax-queued,max_queued,7
attr,rhcsToken,token,8
attr,rhcsAgent,agent,9
attr,rhcsUsername,username,10
attr,rhcsPassword,password,11
attr,rhcsIpaddr,ipaddr,12
attr,rhcsPort,port,13
attr,name,name,14
attr,rhcsAlias,alias,15
attr,rhcsQuorum-dev-poll,quorum_dev_poll,16
attr,rhcsShutdown-timeout,shutdown_timeout,17
attr,rhcsCcsd-poll,ccsd_poll,18
attr,rhcsDebug-mask,debug_mask,19
obj,rhcsMulticast,multicast,8
attr,rhcsAddr,addr,20
obj,rhcsClusternodes,clusternodes,9
obj,rhcsClusternode,clusternode,10
attr,rhcsWeight,weight,21
obj,rhcsAltname,altname,11
attr,rhcsMcast,mcast,22
obj,rhcsDlm,dlm,12
attr,rhcsLog-debug,log_debug,23
attr,rhcsTimewarn,timewarn,24
attr,rhcsProtocol,protocol,25
attr,rhcsEnable-fencing,enable_fencing,26
attr,rhcsEnable-quorum,enable_quorum,27
attr,rhcsEnable-deadlk,enable_deadlk,28
attr,rhcsEnable-plock,enable_plock,29
attr,rhcsPlock-debug,plock_debug,30
attr,rhcsPlock-rate-limit,plock_rate_limit,31
attr,rhcsPlock-ownership,plock_ownership,32
attr,rhcsDrop-resources-time,drop_resources_time,33
attr,rhcsDrop-resources-count,drop_resources_count,34
attr,rhcsDrop-resources-age,drop_resources_age,35
obj,rhcsGfs-controld,gfs_controld,13
attr,rhcsEnable-withdraw,enable_withdraw,36
obj,rhcsLockspace,lockspace,14
attr,rhcsNodir,nodir,37
obj,rhcsMaster,master,15
obj,rhcsGroup,group,16
attr,rhcsGroupd-compat,groupd_compat,38
obj,rhcsFencedevices,fencedevices,17
attr,rhcsDevice,device,39
attr,rhcsLogin,login,40
attr,rhcsPasswd,passwd,41
attr,rhcsPasswd-script,passwd_script,42
attr,rhcsAuth,auth,43
attr,rhcsLanplus,lanplus,44
attr,rhcsNodename,nodename,45
attr,rhcsSelf,self,46
attr,rhcsServers,servers,47
attr,rhcsCserver,cserver,48
